id,monthly_airbnb_revenue,yearly_airbnb_revenue,total_reservation_days
12780993,2903.25,34839,237
24057583,0,0,0
45524309,1510,18120,302
38609434,2750,33000,275
9.73379E+17,356.25,4275,95
1.03211E+18,2750,33000,330
1.12692E+18,183.3333333,2200,11
1.17748E+18,16.5,198,2
7.90127E+17,25.83333333,310,2
45494351,2117.833333,25414,262
18718195,11.66666667,140,1
7725042,2903.25,34839,237
8425657,2903.25,34839,237
20815250,2903.25,34839,237
6.926E+17,1518,18216,276
28346019,2903.25,34839,237
6.47126E+17,261.25,3135,19
27653304,2903.25,34839,237
9312190,2903.25,34839,237
17481484,2903.25,34839,237
15106603,2903.25,34839,237
20483387,2903.25,34839,237
7.84294E+17,50,600,1
1.1693E+18,870.8333333,10450,95
1.15157E+18,6333.333333,76000,304
9902915,2903.25,34839,237
9920191,2903.25,34839,237
8506867,2903.25,34839,237
11602485,2903.25,34839,237
20556622,2903.25,34839,237
13603951,2903.25,34839,237
46355720,3234,38808,264
24852797,2903.25,34839,237
1.04663E+18,5365.5,64386,126
34596689,2903.25,34839,237
35574095,2903.25,34839,237
22249256,2903.25,34839,237
21907916,2903.25,34839,237
21925948,2903.25,34839,237
6.84668E+17,2903.25,34839,237
12905314,2903.25,34839,237
50539494,2903.25,34839,237
13769222,2903.25,34839,237
20000421,2903.25,34839,237
24892670,2903.25,34839,237
21520497,2903.25,34839,237
32764445,2903.25,34839,237
21386117,2903.25,34839,237
33495663,2903.25,34839,237
42871912,2903.25,34839,237
42156706,2903.25,34839,237
46013470,2903.25,34839,237
22290580,2903.25,34839,237
7.57299E+17,2903.25,34839,237
6.90048E+17,4226.25,50715,345
53937868,880,10560,64
21550717,2903.25,34839,237
21652744,2903.25,34839,237
21827355,2903.25,34839,237
33449304,2903.25,34839,237
31211385,2903.25,34839,237
38085023,2903.25,34839,237
51727600,2903.25,34839,237
47804493,2903.25,34839,237
7.83209E+17,2903.25,34839,237
23781939,2903.25,34839,237
7.95581E+17,2927.75,35133,239
7.71332E+17,2903.25,34839,237
6.61726E+17,2903.25,34839,237
22356093,2903.25,34839,237
23952724,2903.25,34839,237
23169146,2903.25,34839,237
22406251,2903.25,34839,237
9.52771E+17,2903.25,34839,237
324800,2903.25,34839,237
22191646,2903.25,34839,237
3825437,2903.25,34839,237
1.1211E+18,2903.25,34839,237
23667137,2903.25,34839,237
22919133,2903.25,34839,237
26324904,2903.25,34839,237
30088906,2903.25,34839,237
22671517,2903.25,34839,237
22308824,2903.25,34839,237
7.34163E+17,2903.25,34839,237
22705963,2903.25,34839,237
68253,2903.25,34839,237
22387975,2903.25,34839,237
51883399,909,10908,108
895368,2903.25,34839,237
9.60203E+17,4128.25,49539,337
2425871,2903.25,34839,237
1.15803E+18,5013.833333,60166,134
6.34697E+17,2454.166667,29450,155
29851985,2903.25,34839,237
8.48458E+17,0,0,0
25887818,2903.25,34839,237
9.63817E+17,8625,103500,276
1.18113E+18,10057.5,120690,270
7.73169E+17,2903.25,34839,237
1.09996E+18,3136,37632,256
1.10289E+18,2903.25,34839,237
8.80323E+17,2903.25,34839,237
23661749,2903.25,34839,237
3908094,2903.25,34839,237
2022920,2903.25,34839,237
29874717,2903.25,34839,237
27906346,2903.25,34839,237
26458835,2903.25,34839,237
1.03508E+18,514.5833333,6175,95
26496330,2903.25,34839,237
27501755,2903.25,34839,237
31153044,2903.25,34839,237
31458142,2903.25,34839,237
40871301,2903.25,34839,237
42322230,2903.25,34839,237
36838859,0,0,0
41693525,2903.25,34839,237
26571486,2903.25,34839,237
26808322,2903.25,34839,237
28506595,2903.25,34839,237
27131400,2903.25,34839,237
29782186,2903.25,34839,237
27736140,2903.25,34839,237
30799727,2903.25,34839,237
1.03357E+18,24267.25,291207,283
41944642,2903.25,34839,237
38284238,0,0,0
40300360,2903.25,34839,237
38481169,2903.25,34839,237
41770189,2903.25,34839,237
7.51264E+17,0,0,0
1.02537E+18,2903.25,34839,237
27710264,2903.25,34839,237
31626920,2903.25,34839,237
39726547,2903.25,34839,237
42115659,2903.25,34839,237
39921190,2903.25,34839,237
40447283,2168.25,26019,177
43150235,2903.25,34839,237
48242704,3956.75,47481,323
53232544,2903.25,34839,237
46003877,2903.25,34839,237
6.56614E+17,701.25,8415,187
1.08996E+18,1176,14112,96
9.1335E+17,3846.5,46158,314
3864528,2903.25,34839,237
1.17393E+18,11583.33333,139000,278
50735000,1526.25,18315,185
8.80643E+17,18.33333333,220,1
7545751,2903.25,34839,237
10524082,2903.25,34839,237
9.02718E+17,0,0,0
6.91373E+17,12.91666667,155,1
45489605,2903.25,34839,237
47784065,2903.25,34839,237
7.6317E+17,2903.25,34839,237
7.22027E+17,0,0,0
7.72623E+17,2903.25,34839,237
444430,2903.25,34839,237
4885240,2903.25,34839,237
4385360,2903.25,34839,237
7.86149E+17,0,0,0
7.26026E+17,0,0,0
8.54439E+17,0,0,0
7.37474E+17,0,0,0
1.17528E+18,1979.166667,23750,95
9.93554E+17,153.8333333,1846,26
9.50634E+17,589.3333333,7072,104
6.45089E+17,0,0,0
8.15406E+17,804.75,9657,261
8.92206E+17,900,10800,120
6.88696E+17,2257.416667,27089,103
20033157,2903.25,34839,237
43388163,947.9166667,11375,325
31836311,923.6666667,11084,326
51804585,694.1666667,8330,119
52132742,1387.5,16650,333
38161818,316.6666667,3800,95
1.21546E+18,23,276,3
22980907,829.5833333,9955,181
8.32362E+17,747.3333333,8968,118
1.21321E+18,0,0,0
8.67385E+17,46.66666667,560,4
4462553,2903.25,34839,237
1421933,2903.25,34839,237
1979579,2903.25,34839,237
2060768,2903.25,34839,237
7.66186E+17,240.8333333,2890,34
17685710,580.5,6966,129
9.47184E+17,560,6720,96
51042544,1387.5,16650,185
8.45209E+17,5.75,69,1
8.61425E+17,1526.25,18315,185
31612381,137.5,1650,30
1.23619E+18,1668,20016,278
44229,0,0,0
7.46356E+17,369.8333333,4438,317
